,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff,western_province,inscr_N,occups_list,occups_N,occups_unique_N,inscr_N_post235,occups_N_post235,ratio_post235,city_province,occups_cats_list,occups_cats_unique_N,occups_cats_vec,shares_vec,ZI,largest_cat,ZI_cat,shares_weighted_vec,RZI,RZI_cat,DI
946,Hanson2016_947,Sarsina,Sarsina,Italia (VI Umbria and Ager Gallicus),Italy,3,42 C1,-400,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; PECS.,10.0,Walls,"['Municipium', 'Rights and privileges']","['Baths', 'Forum', 'Sanctuary of Oriental Dieties', 'Unidentified public building', 'Urban grid', 'Walls']",6,POINT (12.143099 43.918666),947,,,,,1000.0,,True,215.0,"['centonarius', 'mulionus', 'medicus', 'architectus', 'centonarius', 'faber centonarius', 'dendrophorus', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'centonarius', 'medicus', 'centonarius', 'centonarius']",19.0,6.0,5.0,0.0,0.023255813953488372,Sarsina (Italia (VI Umbria and Ager Gallicus)),"['Clothing', 'Transport', 'Miscellaneous Services', 'Building', 'Clothing', 'Clothing', 'Building', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Clothing', 'Miscellaneous Services', 'Clothing', 'Clothing']",4,[ 0  0  0  0  0  0  1  0  0  0  0  0 14  0  0  0  0  2  2],"[0.         0.         0.         0.         0.         0.
 0.05263158 0.         0.         0.         0.         0.
 0.73684211 0.         0.         0.         0.         0.10526316
 0.10526316]",0.7368421052631579,14,Clothing,"[ 0.          0.          0.          0.          0.          0.
  1.41815704  0.          0.          0.          0.          0.
 12.10048791  0.          0.          0.          0.          1.40677537
  0.79170827]",12.100487906155921,Clothing,1.7609756097560978
947,Hanson2016_948,Sena Gallica,Senigallia,Italia (VI Umbria and Ager Gallicus),Italy,3,42 E1,-400,,Beloch 1880; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS; Salmon 1969.,7.0,Urban grid,"['Colonia', 'Rights and privileges', 'Rights and privileges']","['Forum', 'Urban grid', 'Walls']",3,POINT (13.218024 43.715014),948,,,,,1000.0,,True,36.0,"['opifex', 'materiarius', 'cisiarius']",3.0,3.0,0.0,0.0,0.0,Sena Gallica (Italia (VI Umbria and Ager Gallicus)),"['Building', 'Building', 'Transport']",2,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0],"[0.         0.         0.         0.         0.         0.
 0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.66666667
 0.        ]",0.6666666666666666,2,Building,"[0.         0.         0.         0.         0.         0.
 8.98166127 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         8.90957731
 0.        ]",8.981661272923407,Transport,1.7999999999999998
948,Hanson2016_949,Sentinum,Sentino,Italia (VI Umbria and Ager Gallicus),Italy,3,42 D2,-400,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; PECS.,16.0,Walls,['Municipium?'],"['Baths', 'Baths', 'Forum?', 'Urban grid', 'Walls']",5,POINT (12.852965 43.42179),949,,,,,1700.0,,True,172.0,"['curator', 'faber', 'centonarius', 'centonarius', 'scriba']",5.0,4.0,6.0,3.0,0.03488372093023256,Sentinum (Italia (VI Umbria and Ager Gallicus)),"['Managerial', 'Unclassified', 'Clothing', 'Clothing', 'Education']",4,[0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 1 0 0 0],"[0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.2 0.4 0.  0.  0.2 0.  0.
 0. ]",0.4,2,Clothing,"[0.         0.         0.         0.         0.         0.
 0.         0.         4.14228856 0.         0.         0.95317687
 6.56883629 0.         0.         2.402886   0.         0.
 0.        ]",6.5688362919132155,Clothing,3.571428571428571
950,Hanson2016_951,Sestinum,Sestino,Italia (VI Umbria and Ager Gallicus),Italy,3,42 C1,-400,,Beloch 1880; BNP; de Ligt 2012; DGRG; PECS.,,,['Municipium'],,0,POINT (12.298883 43.710612),951,,,,,1000.0,,True,86.0,"['curator', 'centonarius', 'faber', 'curator', 'centonarius', 'curator', 'curator', 'faber']",8.0,3.0,6.0,1.0,0.06976744186046512,Sestinum (Italia (VI Umbria and Ager Gallicus)),"['Managerial', 'Clothing', 'Unclassified', 'Managerial', 'Clothing', 'Managerial', 'Managerial', 'Unclassified']",3,[0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 2 0 0 0],"[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.25 0.
 0.   0.25 0.   0.   0.  ]",0.5,4,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.38294219
 4.10552268 0.         0.         3.0036075  0.         0.
 0.        ]",4.105522682445759,Clothing,2.6666666666666665
951,Hanson2016_952,Spoletium,Spoleto,Italia (VI Umbria and Ager Gallicus),Italy,2,42 D3,-240,,Beloch 1880; Benario 1981; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; Golvin 1988; Nelis-Clément and Roddaz 2008; PECS; Salmon 1969; Sear 2006.,23.0,Inhabited area,"['Colonia', 'Municipium', 'Rights and privileges']","['Acropolis', 'Amphitheatre', 'Aqueduct', 'Aqueduct', 'Arch of Drusus and Germanicus', 'Arch of Monterone', 'Baths', 'Bridge', 'Circus?', 'Forum', 'Temple', ""Temple ('capitolium')"", 'Temple (di S. Ansano)', 'Theatre', 'Unidentified public building', 'Unidentified public building', 'Urban grid', 'Walls']",18,POINT (12.736833 42.734216),952,,,,,2760.0,,True,411.0,"['arcarius', 'curator', 'fullo', 'faber', 'scamillarius', 'faber', 'faber', 'iumentarius', 'medicus', 'tector', 'anularius']",11.0,9.0,47.0,0.0,0.11435523114355231,Spoletium (Italia (VI Umbria and Ager Gallicus)),"['Finance', 'Managerial', 'Clothing', 'Unclassified', 'Miscellaneous Services', 'Unclassified', 'Unclassified', 'Transport', 'Miscellaneous Services', 'Building', 'Metal-Working']",8,[0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 3 1 1 2],"[0.         0.         0.09090909 0.         0.         0.
 0.09090909 0.         0.         0.         0.         0.09090909
 0.09090909 0.         0.         0.27272727 0.09090909 0.09090909
 0.18181818]",0.2727272727272727,3,Unclassified,"[0.         0.         0.95089082 0.         0.         0.
 2.44954398 0.         0.         0.         0.         0.43326222
 1.49291734 0.         0.         3.27666273 4.53238977 1.21494236
 1.3674961 ]",4.532389765922701,Finance,6.36842105263158
952,Hanson2016_953,Suasa,Castelleone di Suasa,Italia (VI Umbria and Ager Gallicus),Italy,3,42 D1,-400,,Beloch 1880; de Ligt 2012; DGRG; PECS.,21.0,Unspecified,['Municipium'],"['Amphitheatre', 'Theatre', 'Walls']",3,POINT (12.983986 43.623375),953,,,,,2444.0,,True,247.0,"['centonarius', 'aerarius', 'aerarius', 'curator', 'centonarius', 'aerarius', 'faber', 'faber', 'exceptor', 'exceptor', 'aerarius', 'aerarius', 'curator']",13.0,5.0,6.0,2.0,0.024291497975708502,Suasa (Italia (VI Umbria and Ager Gallicus)),"['Clothing', 'Metal-Working', 'Metal-Working', 'Managerial', 'Clothing', 'Metal-Working', 'Unclassified', 'Unclassified', 'Education', 'Education', 'Metal-Working', 'Metal-Working', 'Managerial']",5,[0 0 5 0 0 0 0 0 2 0 0 2 2 0 0 2 0 0 0],"[0.         0.         0.38461538 0.         0.         0.
 0.         0.         0.15384615 0.         0.         0.15384615
 0.15384615 0.         0.         0.15384615 0.         0.
 0.        ]",0.38461538461538464,5,Metal-Working,"[0.         0.         4.02299961 0.         0.         0.
 0.         0.         3.18637581 0.         0.         0.73321298
 2.5264755  0.         0.         1.84837385 0.         0.
 0.        ]",4.022999613451875,Metal-Working,4.121951219512194
954,Hanson2016_955,Tuder,Todi,Italia (VI Umbria and Ager Gallicus),Italy,3,42 C3,-400,,Beloch 1880; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; Golvin 1988; PECS; Salmon 1969; Sear 2006.,18.0,Walls,"['Colonia', 'Municipium?']","['Acropolis', 'Amphitheatre', 'Baths', 'Forum', 'Theatre', 'Walls', 'Walls']",7,POINT (12.406448 42.781909),955,,,,,1989.0,,True,171.0,['frumentarius'],1.0,1.0,0.0,0.0,0.0,Tuder (Italia (VI Umbria and Ager Gallicus)),['Retail'],1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Retail,"[ 0.         12.33481481  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",12.334814814814814,Retail,1.0
955,Hanson2016_956,Tuficum,Borgo Tufico,Italia (VI Umbria and Ager Gallicus),Italy,3,42 D2,-400,,Beloch 1880; BNP; de Ligt 2012; DGRG.,40.0,Unspecified,['Municipium'],,0,POINT (12.997564 43.345836),956,,,,,5782.0,,True,75.0,"['curator', 'curator', 'curator', 'curator', 'faber', 'curator']",6.0,2.0,0.0,0.0,0.0,Tuficum (Italia (VI Umbria and Ager Gallicus)),"['Managerial', 'Managerial', 'Managerial', 'Managerial', 'Unclassified', 'Managerial']",2,[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0],"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.83333333
 0.         0.         0.         0.16666667 0.         0.
 0.        ]",0.8333333333333334,5,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         3.97157031
 0.         0.         0.         2.002405   0.         0.
 0.        ]",3.9715703110093497,Managerial,1.3846153846153844
956,Hanson2016_957,Urvinum Hortense,Collemancio,Italia (VI Umbria and Ager Gallicus),Italy,3,42 D3,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; PECS.,4.0,Walls,['Municipium'],"['Baths', 'Temple', 'Walls']",3,POINT (12.522032 42.985186),957,,,,,1000.0,,True,88.0,['opifex'],1.0,1.0,0.0,0.0,0.0,Urvinum Hortense (Italia (VI Umbria and Ager Gallicus)),['Building'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1,Building,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         13.36436597
  0.        ]",13.364365971107544,Building,1.0
957,Hanson2016_958,Urvinum Mataurense,Urbino,Italia (VI Umbria and Ager Gallicus),Italy,3,42 D1,-400,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; PECS; Sear 2006.,12.0,Inhabited area,['Municipium'],"['Acropolis', 'Baths', 'Theatre', 'Walls']",4,POINT (12.636848 43.723884),958,,,,,1157.0,,True,123.0,"['curator', 'curator', 'faber', 'faber tignarius', 'argentarius', 'fullo']",6.0,5.0,4.0,0.0,0.032520325203252036,Urvinum Mataurense (Italia (VI Umbria and Ager Gallicus)),"['Managerial', 'Managerial', 'Unclassified', 'Building', 'Metal-Working', 'Clothing']",5,[0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0],"[0.         0.         0.16666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.16666667 0.         0.         0.16666667 0.         0.16666667
 0.        ]",0.3333333333333333,2,Managerial,"[0.         0.         1.74329983 0.         0.         0.
 0.         0.         0.         0.         0.         1.58862812
 2.73701512 0.         0.         2.002405   0.         2.22739433
 0.        ]",2.737015121630506,Clothing,4.499999999999999
958,Hanson2016_959,Vettona,Bettona,Italia (VI Umbria and Ager Gallicus),Italy,3,42 C2,-400,,Beloch 1880; BNP; de Ligt 2012; DGRG; PECS.,5.0,Walls,['Municipium'],"['Forum', 'Urban grid', 'Walls']",3,POINT (12.484618 43.012888),959,,,,,1000.0,,True,66.0,"['medicus', 'curator', 'curator', 'faber']",4.0,3.0,4.0,1.0,0.06060606060606061,Vettona (Italia (VI Umbria and Ager Gallicus)),"['Miscellaneous Services', 'Managerial', 'Managerial', 'Unclassified']",3,[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 1],"[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.5  0.   0.
 0.   0.25 0.   0.   0.25]",0.5,2,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         2.38294219
 0.         0.         0.         3.0036075  0.         0.
 1.88030714]",3.003607503607504,Unclassified,2.6666666666666665
961,Hanson2016_962,Arretium,Arezzo,Italia (VII Etruria),Italy,2,42 B2,-400,,Beloch 1880; Benario 1981; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; Golvin 1988; PECS; Salmon 1969; Sear 2006.,55.0,Inhabited area,"['Colonia', 'Municipium']","['Amphitheatre', 'Aqueduct', 'Baths', 'Forum', 'Sanctuary', 'Theatre', 'Urban grid?', 'Walls']",8,POINT (11.881301 43.463409),962,,,,,8848.0,,True,1844.0,"['scutarius', 'faber', 'curator', 'curator', 'figulus', 'figulus', 'figulus', 'figulus', 'figulus', 'figulus', 'figulus', 'figulus', 'cerdo']",13.0,5.0,17.0,1.0,0.009219088937093275,Arretium (Italia (VII Etruria)),"['Miscellaneous Services', 'Unclassified', 'Managerial', 'Managerial', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Miscellaneous Services']",4,[0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 1 0 0 2],"[0.         0.         0.         0.         0.         0.61538462
 0.         0.         0.         0.         0.         0.15384615
 0.         0.         0.         0.07692308 0.         0.
 0.15384615]",0.6153846153846154,8,Household Goods,"[ 0.          0.          0.          0.          0.         30.68079226
  0.          0.          0.          0.          0.          0.73321298
  0.          0.          0.          0.92418692  0.          0.
  1.15711208]",30.68079226163059,Household Goods,2.315068493150685
963,Hanson2016_964,Blera,Bieda,Italia (VII Etruria),Italy,3,42 C4,-600,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; PECS.,18.0,Inhabited area,['Municipium'],"['Bridge', 'Bridge', 'Walls']",3,POINT (12.0325 42.273333),964,,,,,1989.0,,True,6.0,['scriba'],1.0,1.0,1.0,0.0,0.16666666666666666,Blera (Italia (VII Etruria)),['Education'],1,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Education,"[ 0.          0.          0.          0.          0.          0.
  0.          0.         20.71144279  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",20.711442786069654,Education,1.0
964,Hanson2016_965,Caere,Cerveteri,Italia (VII Etruria),Italy,2,43 A1,-400,,Beloch 1880; Beloch 1886; Bispham 2007; BNP; de Ligt 2012; PECS; Sear 2006.,120.0,Walls,"['Municipium', 'Rights and privileges']","['Temple', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple of Augustus', 'Temple of Hera', 'Theatre', 'Walls']",9,POINT (12.093463 41.993778),965,,,,,25091.0,,True,466.0,"['medicus', 'curator', 'aerarius', 'curator', 'curator', 'scriba', 'faber', 'scriba', 'figulus', 'medicus', 'faber']",11.0,6.0,2.0,0.0,0.004291845493562232,Caere (Italia (VII Etruria)),"['Miscellaneous Services', 'Managerial', 'Metal-Working', 'Managerial', 'Managerial', 'Education', 'Unclassified', 'Education', 'Household Goods', 'Miscellaneous Services', 'Unclassified']",6,[0 0 1 0 0 1 0 0 2 0 0 3 0 0 0 2 0 0 2],"[0.         0.         0.09090909 0.         0.         0.09090909
 0.         0.         0.18181818 0.         0.         0.27272727
 0.         0.         0.         0.18181818 0.         0.
 0.18181818]",0.2727272727272727,3,Managerial,"[0.         0.         0.95089082 0.         0.         4.53238977
 0.         0.         3.76571687 0.         0.         1.29978665
 0.         0.         0.         2.18444182 0.         0.
 1.3674961 ]",4.532389765922701,Household Goods,5.260869565217392
965,Hanson2016_966,Capena,Civitcola,Italia (VII Etruria),Italy,3,42 D4,-500,275.0,Beloch 1880; Bispham 2007; de Ligt 2012; DGRG; PECS.,6.0,Inhabited area,"['Municipium', 'Municipium', 'Rights and privileges']","['Baths?', 'Forum?', 'Temple of Ceres?', 'Temple of the imperial cult', 'Walls']",5,POINT (12.541739 42.142672),966,,,,,1000.0,,True,386.0,"['negotians', 'parasitus', 'parasitus', 'curator', 'aerarius', 'scriba', 'curator', 'faber', 'scriptor', 'rosarius', 'aedifex', 'aedifex', 'faber tignarius', 'custodiarius', 'medicus', 'architectus', 'medicus', 'negotiator']",18.0,14.0,79.0,1.0,0.20466321243523317,Capena (Italia (VII Etruria)),"['Retail', 'Performing Arts', 'Performing Arts', 'Managerial', 'Metal-Working', 'Education', 'Managerial', 'Unclassified', 'Managerial', 'Retail', 'Building', 'Building', 'Building', 'Miscellaneous Services', 'Miscellaneous Services', 'Building', 'Miscellaneous Services', 'Retail']",8,[0 3 1 0 0 0 0 0 1 0 0 3 0 0 2 1 0 4 3],"[0.         0.16666667 0.05555556 0.         0.         0.
 0.         0.         0.05555556 0.         0.         0.16666667
 0.         0.         0.11111111 0.05555556 0.         0.22222222
 0.16666667]",0.2222222222222222,4,Building,"[0.         2.05580247 0.58109994 0.         0.         0.
 0.         0.         1.15063571 0.         0.         0.79431406
 0.         0.         2.45387563 0.66746833 0.         2.9698591
 1.25353809]",2.969859104690565,Building,6.4799999999999995
966,Hanson2016_967,Castrum Novum (Italia (VII Etruria)),Torre Chiaruccia,Italia (VII Etruria),Italy,3,44 A1,-400,,Beloch 1880; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; Salmon 1969.,12.0,Unspecified,"['Colonia', 'Colonia', 'Rights and privileges']",,0,POINT (11.833334 42.033334),967,,,,,1157.0,,True,56.0,"['scaenarius', 'curator']",2.0,2.0,6.0,0.0,0.10714285714285714,Castrum Novum (Italia (VII Etruria)) (Italia (VII Etruria)),"['Plastic Arts', 'Managerial']",2,[0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],"[0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.
 0. ]",0.5,1,Plastic Arts,"[ 0.          0.          0.          0.          0.          0.
  0.         32.27131783  0.          0.          0.          2.38294219
  0.          0.          0.          0.          0.          0.
  0.        ]",32.27131782945737,Plastic Arts,2.0
967,Hanson2016_968,Centumcellae,Cittavecchia,Italia (VII Etruria),Italy,4 or 5,42 B4,106,,BNP; DGRG.,18.0,Urban grid,,"['Aqueduct', 'Forum', 'Harbour', 'Urban grid']",4,POINT (11.796814 42.09118),968,,,,,1989.0,,True,185.0,"['piscator', 'pistor', 'curator', 'faber']",4.0,4.0,27.0,0.0,0.14594594594594595,Centumcellae (Italia (VII Etruria)),"['Food-Production', 'Food-Production', 'Managerial', 'Unclassified']",3,[2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0],"[0.5  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.
 0.   0.25 0.   0.   0.  ]",0.5,2,Food-Production,"[8.9143469  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.19147109
 0.         0.         0.         3.0036075  0.         0.
 0.        ]",8.914346895074946,Food-Production,2.6666666666666665
968,Hanson2016_969,Clusium,Chiusi,Italia (VII Etruria),Italy,2,42 B2,-500,,Beloch 1880; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS.,26.0,Walls,"['Colonia', 'Municipium']","['Acropolis', 'Walls']",2,POINT (11.949005 43.016697),969,,,,,3252.0,,True,984.0,"['curator', 'curator', 'curator', 'sagittarius', 'centonarius', 'faber', 'argentarius', 'architectus', 'naupegus', 'purpurarius', 'figulus', 'curator', 'pinctor', 'opifex']",14.0,11.0,75.0,0.0,0.07621951219512195,Clusium (Italia (VII Etruria)),"['Managerial', 'Managerial', 'Managerial', 'Metal-Working', 'Clothing', 'Unclassified', 'Metal-Working', 'Building', 'Transport', 'Clothing', 'Household Goods', 'Managerial', 'Plastic Arts', 'Building']",8,[0 0 2 0 0 1 1 1 0 0 0 4 2 0 0 1 0 2 0],"[0.         0.         0.14285714 0.         0.         0.07142857
 0.07142857 0.07142857 0.         0.         0.         0.28571429
 0.14285714 0.         0.         0.07142857 0.         0.14285714
 0.        ]",0.2857142857142857,4,Managerial,"[0.         0.         1.494257   0.         0.         3.56116339
 1.9246417  4.61018826 0.         0.         0.         1.36168125
 2.34601296 0.         0.         0.85817357 0.         1.90919514
 0.        ]",4.610188261351052,Plastic Arts,6.125000000000001
969,Hanson2016_970,Cortona,Cortona,Italia (VII Etruria),Italy,3,42 B2,-500,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; PECS.,45.0,Walls,"['Colonia', 'Municipium']",['Walls'],1,POINT (11.985527 43.274476),970,,,,,6767.0,,True,162.0,['aeneator'],1.0,1.0,3.0,0.0,0.018518518518518517,Cortona (Italia (VII Etruria)),['Performing Arts'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1,Performing Arts,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         22.08488064  0.          0.          0.
  0.        ]",22.084880636604776,Performing Arts,1.0
971,Hanson2016_972,Faesulae,Fiesole,Italia (VII Etruria),Italy,3,42 A1,-400,,Beloch 1880; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Woloch 1983.,31.0,Walls,"['Colonia', 'Municipium']","['Acropolis', 'Baths', 'Capitolium', 'Forum', 'Temple', 'Temple', 'Theatre', 'Walls']",8,POINT (11.293835 43.808079),972,,,,,4113.0,,True,138.0,"['faber', 'dendrophorus', 'figulus', 'figulus', 'figulus']",5.0,3.0,1.0,0.0,0.007246376811594203,Faesulae (Italia (VII Etruria)),"['Unclassified', 'Building', 'Household Goods', 'Household Goods', 'Household Goods']",3,[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0],"[0.  0.  0.  0.  0.  0.6 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.2
 0. ]",0.6,3,Household Goods,"[ 0.          0.          0.          0.          0.         29.91377246
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          2.402886    0.          2.67287319
  0.        ]",29.91377245508982,Household Goods,2.2727272727272725
972,Hanson2016_973,Falerii Novi,Civita Castellana,Italia (VII Etruria),Italy,3,42 C4,-220,,Beloch 1886; Benario 1981; Bispham 2007; BNP; de Ligt 2012; Golvin 1988; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006.,31.0,Urban grid and walls,"['Colonia', 'Colonia', 'Municipium']","['Amphitheatre', 'Arch', 'Arch', 'Arch', 'Arch', 'Basilica', 'Baths', 'Baths', 'Capitolium', 'Forum', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple of Isis', 'Temple of Juno Curritis', 'Theatre', 'Urban grid', 'Walls']",21,POINT (12.411516 42.28884),973,,,,,4113.0,,True,182.0,"['curator', 'curator', 'curator', 'curator', 'faber', 'scriba', 'scriba', 'faber', 'sagittarius', 'faber', 'curator', 'argentarius', 'vinarius', 'coactor']",14.0,7.0,9.0,3.0,0.04945054945054945,Falerii Novi (Italia (VII Etruria)),"['Managerial', 'Managerial', 'Managerial', 'Managerial', 'Unclassified', 'Education', 'Education', 'Unclassified', 'Metal-Working', 'Unclassified', 'Managerial', 'Metal-Working', 'Food-Retail', 'Clothing']",6,[0 0 2 0 0 0 0 0 2 0 1 5 1 0 0 3 0 0 0],"[0.         0.         0.14285714 0.         0.         0.
 0.         0.         0.14285714 0.         0.07142857 0.35714286
 0.07142857 0.         0.         0.21428571 0.         0.
 0.        ]",0.35714285714285715,5,Managerial,"[0.         0.         1.494257   0.         0.         0.
 0.         0.         2.95877754 0.         6.75811688 1.70210156
 1.17300648 0.         0.         2.57452072 0.         0.
 0.        ]",6.758116883116882,Food-Retail,4.454545454545454
973,Hanson2016_974,Ferentum,Ferento,Italia (VII Etruria),Italy,3,42 C4,-400,,BNP; de Ligt 2012; DGRG; PECS; Sear 2006.,31.0,Urban grid,['Municipium'],"['Amphitheatre?', 'Baths', 'Bridge', 'Bridge', 'Forum', 'Temple of Augustus', 'Temple of Fortuna', 'Temple of Salus', 'Theatre', 'Urban grid']",10,POINT (12.132177 42.48859),974,,,,,4113.0,,True,146.0,"['medicus', 'centonarius', 'faber', 'pistor', 'faber']",5.0,4.0,0.0,0.0,0.0,Ferentum (Italia (VII Etruria)),"['Miscellaneous Services', 'Clothing', 'Unclassified', 'Food-Production', 'Unclassified']",4,[1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1],"[0.2 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.4 0.  0.
 0.2]",0.4,2,Unclassified,"[3.56573876 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 3.28441815 0.         0.         4.80577201 0.         0.
 1.50424571]",4.805772005772006,Unclassified,3.571428571428571
974,Hanson2016_975,Fidenae,Fidene,Italia (VII Etruria),Italy,4 or 5,43 C2,-600,-50.0,Beloch 1880; Bispham 2007; Cornell and Mathews 1982; de Ligt 2012; DGRG; Salmon 1969.,45.0,Inhabited area,"['Colonia', 'Municipium', 'Rights and privileges']","['Acropolis', 'Amphitheatre (Wooden)', 'Curia', 'Walls']",4,POINT (12.515431 41.982054),975,,,,,6767.0,,True,145.0,"['faber', 'cocus', 'retiarius', 'officinator']",4.0,4.0,2.0,0.0,0.013793103448275862,Fidenae (Italia (VII Etruria)),"['Unclassified', 'Food-Production', 'Performing Arts', 'Miscellaneous Services']",4,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1],"[0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.25 0.25 0.   0.   0.25]",0.25,1,Food-Production,"[4.45717345 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         5.52122016 3.0036075  0.         0.
 1.88030714]",5.521220159151194,Performing Arts,4.0
